probe,f,T,b,mu_real,mu_imag
R29.5x19x14.9,146357.5,30.162,0.1271901693264002,4605.0673540026455,1029.3889166894428
R29.5x19x14.9,146057.5,30.144,0.1316820408641608,4622.306615287355,1051.4373419423612
R29.5x19x14.9,145757.5,30.152,0.1358298709868027,4650.7979393908645,1081.3654030296625
R29.5x19x14.9,145457.5,30.158,0.1403327961225123,4667.753466781809,1104.4360255797817
R29.5x19x14.9,145157.5,30.156,0.1440345953802778,4667.504563322857,1131.665556941207
R29.5x19x14.9,145007.5,30.158,0.148056654611005,4684.9442642775375,1153.1493950300655
R29.5x19x14.9,144707.5,30.163,0.1520036676129044,4694.695545297799,1182.674920819984
R29.5x19x14.9,144407.5,30.158,0.1561037088126824,4698.940821690886,1200.7449721766172
R29.5x19x14.9,144107.5,30.173,0.1595279544957115,4698.154101831903,1221.1505010673602
R29.5x19x14.9,143807.5,30.175,0.1639886680545257,4738.595858920158,1244.8845255893873
R29.5x19x14.9,143807.5,30.171,0.1669335879442079,4735.874972686106,1260.071764278286
R29.5x19x14.9,143657.5,30.171,0.1698473023086729,4732.026947026103,1281.4741729908585
R29.5x19x14.9,143357.5,30.179,0.1738347417561823,4748.94796410344,1294.8008583586031
R29.5x19x14.9,143357.5,30.167,0.1765131334223601,4746.327378122225,1313.4909218534283
R29.5x19x14.9,143207.5,30.186,0.1798072410710668,4750.268934692451,1319.8395441849868
R29.5x19x14.9,143057.5,30.165,0.1826199293572039,4753.707622405327,1340.018205150713
R29.5x19x14.9,142907.5,30.179,0.1852358890423831,4739.27475019425,1349.1927671504857
R29.5x19x14.9,142907.5,30.174,0.187950639966158,4737.584172795546,1348.4062871814165
R29.5x19x14.9,142757.5,30.184,0.1905471789947095,4735.367952676596,1357.7681645386149
R29.5x19x14.9,142757.5,30.171,0.1925003942876759,4726.593607267047,1371.2687133951697
R29.5x19x14.9,142757.5,30.165,0.1943299314814988,4702.891064326861,1375.400592359055
R29.5x19x14.9,142607.5,30.184,0.196977684911464,4717.41101520553,1386.3185416006954
R29.5x19x14.9,142607.5,30.184,0.1991447153408666,4728.861933223881,1399.094435336112
R29.5x19x14.9,142457.5,30.171,0.2018677212337627,4748.526493085548,1412.8237836585006
R29.5x19x14.9,142307.5,30.195,0.2036544949236909,4720.7845511122805,1410.162195399284
R29.5x19x14.9,142307.5,30.182,0.2048896447204757,4702.851416107313,1415.4096506248109
R29.5x19x14.9,142307.5,30.182,0.2070595069651804,4721.9327770149375,1428.6379698396777
R29.5x19x14.9,142307.5,30.18,0.2078623728067638,4697.325991970777,1433.612540180878
R29.5x19x14.9,142307.5,30.192,0.2095739586379351,4693.314751738939,1431.791774657396
R29.5x19x14.9,142307.5,30.186,0.2107640880928898,4693.8043381056,1440.197736747111
R29.5x19x14.9,142307.5,30.18,0.2124401121029601,4705.031776966439,1450.3858620772105
R29.5x19x14.9,142157.5,30.199,0.2143660871632152,4691.806387660037,1441.37376070793
R29.5x19x14.9,142157.5,30.197,0.2156432252156191,4692.495900355397,1449.149803298399
R29.5x19x14.9,142157.5,30.201,0.2170562510526895,4696.10187003723,1452.6457452403824
R29.5x19x14.9,142157.5,30.18,0.2177124625593721,4671.088569161667,1448.47474800826
R29.5x19x14.9,142157.5,30.195,0.2187588058985702,4684.993223393992,1463.4752992415677
R29.5x19x14.9,142157.5,30.203,0.2198915862962237,4675.655961930324,1461.7127704799211
R29.5x19x14.9,142157.5,30.22,0.2211597366698922,4677.9314792185605,1463.444541195164
R29.5x19x14.9,142157.5,30.209,0.2223048705025154,4688.566799279596,1475.3678566733208
R29.5x19x14.9,142157.5,30.195,0.2230651800413003,4675.602266821892,1474.483394758274
R29.5x19x14.9,142007.5,30.197,0.2251997030189713,4689.322780539893,1470.3137084035525
R29.5x19x14.9,142007.5,30.215,0.2260289979337788,4700.69645032527,1475.8201619115555
R29.5x19x14.9,142007.5,30.201,0.226573845211163,4702.668061908438,1486.7928418263512
R29.5x19x14.9,142007.5,30.193,0.2278987436210218,4704.1743748060935,1485.2336417621443
R29.5x19x14.9,142007.5,30.214,0.2288627739673405,4712.032940345285,1490.2625128505151
